Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,mean_of_tension,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol,mean_of_volumetreic
2023-02-28 00:00:00+01:00,68.09000037057059,59.856337748782735,66.95833358764648,64.96822390233326,27.279285687816383,27.867404446515522,27.360119029453823,27.50226972126191
2023-03-01 00:00:00+01:00,71.92913397841566,60.38771913762678,67.6764226153614,66.66442524380129,27.00506185868459,27.82944863302666,27.30882695604561,27.38111248258562
2023-03-02 00:00:00+01:00,75.31610726990155,60.85734283340561,71.43161784901338,69.20168931744018,26.76313519500703,27.79590408332817,27.040598725070474,27.199879334468562
2023-03-03 00:00:00+01:00,77.15323743202704,60.56319424841139,72.9678081878244,70.22807995608761,26.631911611998067,27.816914696542046,26.93087084372683,27.126565717422313
2023-03-04 00:00:00+01:00,79.33669094387575,59.99861121177673,74.08321663383003,71.13950626316084,26.47595064686602,27.85724205630166,26.85119881186928,27.061463838345656
2023-03-05 00:00:00+01:00,79.7823134441765,59.119259134928384,74.31666628519694,71.07274628810062,26.44412046827311,27.920052918933685,26.834523836771645,27.06623240799281
2023-03-06 00:00:00+01:00,80.09702601663243,58.47238815364553,74.81500015258788,71.12813810762195,26.421640998811966,27.966257989025316,26.798928560529433,27.062275849455574
2023-03-07 00:00:00+01:00,80.41095885185347,57.975886432837086,75.2446042067713,71.21048316382061,26.39921722486761,28.001722397654493,26.768242556659196,27.056394059727097
2023-03-08 00:00:00+01:00,80.75034020871533,57.74748180581511,75.55899261913711,71.35227154455585,26.37497569937748,28.01803701387035,26.745786241490205,27.046266318246012
2023-03-09 00:00:00+01:00,81.72466664632161,58.1785714830671,76.45755405563244,72.12026406167372,26.305380953834167,27.98724489406663,26.68160328174054,26.991409709880443
2023-03-10 00:00:00+01:00,83.01589404984026,59.25972239176432,77.67622412834967,73.31728018998474,26.21315042501141,27.910019829159694,26.594555419403594,26.90590855785823
2023-03-11 00:00:00+01:00,84.94701971597229,60.960958663731404,79.29097207387288,75.06631681785886,26.075212877430552,27.788502952590616,26.47921628043765,26.78097737015294
2023-03-12 00:00:00+01:00,84.49934196472168,62.53851357021847,80.54178107274721,75.85987886922912,26.10718985966274,27.675820459270106,26.389872780518054,26.724294366483633
