Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol
2023-03-10 21:00:00+01:00,85.42,59.85,78.56,26.041428571428572,27.867857142857144,26.531428571428574
2023-03-10 22:00:00+01:00,85.15,59.92,78.51,26.060714285714287,27.862857142857145,26.534999999999997
2023-03-10 23:00:00+01:00,84.82,59.88,78.55,26.084285714285716,27.865714285714283,26.53214285714286
2023-03-11 00:00:00+01:00,84.61,60.05,78.55,26.099285714285713,27.853571428571428,26.53214285714286
2023-03-11 01:00:00+01:00,84.27,59.96,78.58,26.12357142857143,27.860000000000003,26.529999999999998
2023-03-11 02:00:00+01:00,84.05,60.14,78.51,26.139285714285716,27.84714285714286,26.534999999999997
2023-03-11 03:00:00+01:00,83.89,60.13,78.54,26.150714285714283,27.84785714285714,26.532857142857143
2023-03-11 04:00:00+01:00,83.76,60.12,78.68,26.16,27.84857142857143,26.52285714285714
2023-03-11 05:00:00+01:00,83.53,60.26,78.68,26.176428571428573,27.83857142857143,26.52285714285714
2023-03-11 06:00:00+01:00,83.57,60.35,78.76,26.173571428571428,27.832142857142856,26.517142857142854
2023-03-11 07:00:00+01:00,83.5,60.38,78.71,26.17857142857143,27.83,26.520714285714288
2023-03-11 08:00:00+01:00,83.57,60.5,78.75,26.173571428571428,27.82142857142857,26.517857142857142
2023-03-11 09:00:00+01:00,83.54,60.41,78.74,26.175714285714285,27.827857142857145,26.51857142857143
2023-03-11 10:00:00+01:00,83.56,60.53,78.8,26.174285714285716,27.819285714285712,26.514285714285712
2023-03-11 11:00:00+01:00,83.51,60.58,78.85,26.177857142857142,27.81571428571429,26.510714285714286
2023-03-11 12:00:00+01:00,83.54,60.6,78.87,26.175714285714285,27.814285714285713,26.509285714285713
2023-03-11 13:00:00+01:00,83.76,60.8,79.06,26.16,27.800000000000004,26.495714285714282
2023-03-11 14:00:00+01:00,84.35,60.94,79.11,26.117857142857144,27.79,26.49214285714286
2023-03-11 15:00:00+01:00,84.93,61.05,79.29,26.076428571428572,27.782142857142855,26.479285714285716
2023-03-11 16:00:00+01:00,85.47,61.33,79.4,26.037857142857145,27.76214285714286,26.471428571428568
2023-03-11 17:00:00+01:00,86.27,61.3,79.68,25.980714285714285,27.764285714285712,26.451428571428572
2023-03-11 18:00:00+01:00,86.97,61.42,79.81,25.930714285714284,27.755714285714284,26.44214285714286
2023-03-11 19:00:00+01:00,87.33,61.47,79.98,25.905,27.752142857142857,26.43
2023-03-11 20:00:00+01:00,87.57,61.6,80.13,25.887857142857147,27.74285714285714,26.419285714285714
2023-03-11 21:00:00+01:00,87.13,61.71,80.21,25.919285714285717,27.735,26.41357142857143
2023-03-11 22:00:00+01:00,86.66,61.74,80.14,25.952857142857145,27.732857142857142,26.41857142857143
2023-03-11 23:00:00+01:00,86.23,61.79,80.05,25.983571428571427,27.729285714285712,26.424999999999997
2023-03-12 00:00:00+01:00,85.94,61.65,79.99,26.004285714285714,27.739285714285717,26.429285714285715
2023-03-12 01:00:00+01:00,85.39,61.74,79.97,26.043571428571425,27.732857142857142,26.430714285714284
2023-03-12 02:00:00+01:00,85.12,61.87,80.02,26.062857142857144,27.723571428571432,26.42714285714286
2023-03-12 03:00:00+01:00,84.9,61.87,80.05,26.07857142857143,27.723571428571432,26.424999999999997
2023-03-12 04:00:00+01:00,84.48,61.81,80.05,26.108571428571427,27.727857142857143,26.424999999999997
2023-03-12 05:00:00+01:00,84.35,61.88,80.08,26.117857142857144,27.722857142857144,26.422857142857143
2023-03-12 06:00:00+01:00,84.08,61.87,79.95,26.13714285714286,27.723571428571432,26.43214285714286
2023-03-12 07:00:00+01:00,83.48,61.92,80.03,26.179999999999996,27.72,26.426428571428573
2023-03-12 08:00:00+01:00,83.15,61.93,79.87,26.203571428571426,27.719285714285714,26.43785714285714
2023-03-12 09:00:00+01:00,82.57,61.9,79.75,26.245,27.721428571428568,26.44642857142857
2023-03-12 10:00:00+01:00,81.95,61.92,79.79,26.289285714285715,27.72,26.443571428571428
2023-03-12 11:00:00+01:00,81.44,61.99,79.74,26.325714285714284,27.715,26.447142857142858
2023-03-12 12:00:00+01:00,81.05,61.94,79.86,26.35357142857143,27.718571428571426,26.43857142857143
2023-03-12 13:00:00+01:00,81.74,62.12,80.17,26.30428571428571,27.705714285714283,26.416428571428575
2023-03-12 14:00:00+01:00,83.06,62.44,80.35,26.21,27.68285714285714,26.403571428571425
2023-03-12 15:00:00+01:00,84.27,62.67,80.49,26.12357142857143,27.66642857142857,26.393571428571427
2023-03-12 16:00:00+01:00,85.4,62.92,80.82,26.042857142857144,27.64857142857143,26.369999999999997
2023-03-12 17:00:00+01:00,86.93,63.04,81.22,25.93357142857143,27.639999999999997,26.341428571428573
2023-03-12 18:00:00+01:00,88.21,63.17,81.28,25.842142857142857,27.630714285714287,26.337142857142858
2023-03-12 19:00:00+01:00,89.12,63.29,81.52,25.777142857142856,27.622142857142855,26.32
2023-03-12 20:00:00+01:00,89.53,63.29,81.7,25.747857142857143,27.622142857142855,26.307142857142857
2023-03-12 21:00:00+01:00,89.36,63.37,81.82,25.759999999999998,27.61642857142857,26.298571428571428
2023-03-12 22:00:00+01:00,88.96,63.45,81.85,25.788571428571426,27.610714285714284,26.29642857142857
2023-03-12 23:00:00+01:00,88.52,63.34,81.74,25.82,27.618571428571425,26.30428571428571
2023-03-13 00:00:00+01:00,87.92,63.37,81.76,25.862857142857145,27.61642857142857,26.30285714285714
2023-03-13 01:00:00+01:00,87.1,63.37,81.7,25.921428571428574,27.61642857142857,26.307142857142857
2023-03-13 02:00:00+01:00,86.11,63.47,81.58,25.99214285714286,27.609285714285715,26.315714285714286
2023-03-13 03:00:00+01:00,85.36,63.57,81.63,26.045714285714283,27.60214285714286,26.312142857142856
2023-03-13 04:00:00+01:00,84.82,63.59,81.6,26.084285714285716,27.600714285714282,26.314285714285713
2023-03-13 05:00:00+01:00,84.35,63.62,81.52,26.117857142857144,27.59857142857143,26.32
2023-03-13 06:00:00+01:00,84.14,63.64,81.61,26.13285714285714,27.59714285714286,26.313571428571425
2023-03-13 07:00:00+01:00,84.03,63.63,81.58,26.140714285714285,27.59785714285714,26.315714285714286
2023-03-13 08:00:00+01:00,84.07,63.57,81.59,26.137857142857147,27.60214285714286,26.314999999999998
2023-03-13 09:00:00+01:00,83.96,63.65,81.54,26.145714285714284,27.59642857142857,26.31857142857143
2023-03-13 10:00:00+01:00,83.96,63.63,81.64,26.145714285714284,27.59785714285714,26.311428571428568
2023-03-13 11:00:00+01:00,83.8,63.64,81.68,26.15714285714286,27.59714285714286,26.308571428571426
2023-03-13 12:00:00+01:00,84.2,63.71,81.8,26.12857142857143,27.592142857142854,26.3
2023-03-13 13:00:00+01:00,85.07,64.03,82.1,26.066428571428574,27.569285714285712,26.27857142857143
2023-03-13 14:00:00+01:00,86.27,64.27,82.48,25.980714285714285,27.552142857142858,26.25142857142857
2023-03-13 15:00:00+01:00,87.39,64.48,82.52,25.900714285714287,27.537142857142854,26.248571428571427
2023-03-13 16:00:00+01:00,88.47,64.57,82.61,25.82357142857143,27.530714285714286,26.24214285714286
2023-03-13 17:00:00+01:00,89.71,64.73,83.0,25.735000000000003,27.51928571428571,26.21428571428571
2023-03-13 18:00:00+01:00,90.79,64.97,83.28,25.657857142857143,27.502142857142857,26.194285714285716
2023-03-13 19:00:00+01:00,91.41,65.06,83.34,25.61357142857143,27.495714285714286,26.19
2023-03-13 20:00:00+01:00,91.67,65.23,83.78,25.595000000000002,27.48357142857143,26.15857142857143
2023-03-13 21:00:00+01:00,91.43,65.33,83.8,25.612142857142857,27.476428571428567,26.15714285714286
2023-03-13 22:00:00+01:00,90.91,65.38,83.81,25.649285714285714,27.472857142857144,26.15642857142857
2023-03-13 23:00:00+01:00,89.93,65.33,83.81,25.71928571428571,27.476428571428567,26.15642857142857
2023-03-14 00:00:00+01:00,89.28,65.41,83.65,25.765714285714285,27.470714285714287,26.167857142857144
2023-03-14 01:00:00+01:00,89.05,65.37,83.54,25.78214285714286,27.473571428571432,26.175714285714285
2023-03-14 02:00:00+01:00,88.67,65.33,83.7,25.809285714285714,27.476428571428567,26.16428571428571
2023-03-14 03:00:00+01:00,88.41,65.33,83.71,25.82785714285714,27.476428571428567,26.16357142857143
2023-03-14 04:00:00+01:00,88.04,65.42,83.83,25.854285714285712,27.47,26.155
2023-03-14 05:00:00+01:00,87.96,65.44,83.78,25.86,27.46857142857143,26.15857142857143
2023-03-14 06:00:00+01:00,87.93,65.52,83.88,25.862142857142857,27.462857142857146,26.15142857142857
2023-03-14 07:00:00+01:00,87.86,65.55,83.91,25.867142857142856,27.460714285714282,26.149285714285714
