"Time","638de53168f31919048f189d, 63932c6e68f319085df375b5; B2_solar_x2_03, Soil_tension","638de53168f31919048f189d, 63932c6e68f319085df375b7; B2_solar_x2_03, Resistance","638de53168f31919048f189d, 63932c6e68f319085df375b9; B2_solar_x2_03, Soil_temperature","638de56a68f31919048f189e, 63932ce468f319085df375cb; B3_solar_x1_02, Resistance","638de57568f31919048f189f, 63932c3668f319085df375ab; B4_solar_x1_03, Soil_tension","638de57568f31919048f189f, 63932c3668f319085df375ad; B4_solar_x1_03, Resistance","638de57568f31919048f189f, 63932c3668f319085df375af; B4_solar_x1_03, Soil_temperature"
"2023-02-09 20:00:00 +0000 UTC",0,52.2,12.6,96.2,9.2,111.4,13
"2023-02-09 20:10:00 +0000 UTC",0,51.7,12.5,95.6,9.1,110.3,13
"2023-02-09 20:20:00 +0000 UTC",0,52.2,12.5,96.1,9.1,110.3,12.9
"2023-02-09 20:30:00 +0000 UTC",0,51.7,12.5,94.5,9.1,110.2,12.8
"2023-02-09 20:40:00 +0000 UTC",0,51.7,12.5,93.9,9.1,109.1,12.9
"2023-02-09 20:50:00 +0000 UTC",0,51.7,12.5,93.9,9.1,109.1,12.9
"2023-02-09 21:00:00 +0000 UTC",0,52.2,12.4,92.8,9.1,109,12.8
"2023-02-09 21:10:00 +0000 UTC",0,51.7,12.4,92.7,9,107.9,12.8
"2023-02-09 21:20:00 +0000 UTC",0,52.2,12.3,92.7,9,107.9,12.9
"2023-02-09 21:30:00 +0000 UTC",0,51.7,12.3,92.1,9,107.3,12.8
"2023-02-09 21:40:00 +0000 UTC",0,51.7,12.3,92.1,9,107.3,12.8
"2023-02-09 21:50:00 +0000 UTC",0,52.2,12.3,91.25,9,106.7,12.8
"2023-02-09 22:00:00 +0000 UTC",0,51.7,12.2,90.4,9,106.7,12.8
"2023-02-09 22:10:00 +0000 UTC",0,51.2,12.2,90.4,9,106.7,12.8
"2023-02-09 22:20:00 +0000 UTC",0,51.7,12.2,89.8,8.9,106.1,12.8
"2023-02-09 22:30:00 +0000 UTC",0,51.7,12.2,89.3,8.9,105.5,12.8
"2023-02-09 22:40:00 +0000 UTC",0,51.7,12.1,89.3,8.9,105.5,12.8
"2023-02-09 22:50:00 +0000 UTC",0,51.7,12.1,89.3,8.9,105.5,12.7
"2023-02-09 23:00:00 +0000 UTC",0,51.7,12.1,89.2,8.9,105.5,12.7
"2023-02-09 23:10:00 +0000 UTC",0,51.95,12.1,88.2,8.85,104.4,12.6
"2023-02-09 23:20:00 +0000 UTC",0,51.7,12,88.2,8.8,104.3,12.6
"2023-02-09 23:30:00 +0000 UTC",0,52.2,12,88.2,8.8,104.3,12.6
"2023-02-09 23:40:00 +0000 UTC",0,52.2,12,88.1,8.8,104.3,12.6
"2023-02-09 23:50:00 +0000 UTC",0,51.7,12,87.6,8.8,103.8,12.6
"2023-02-10 00:00:00 +0000 UTC",0,52.2,12,88.1,8.8,103.8,12.6
"2023-02-10 00:10:00 +0000 UTC",0,52.2,11.9,87.5,8.8,103.2,12.6
"2023-02-10 00:20:00 +0000 UTC",0,52.2,11.9,88,8.8,104.1,12.6
"2023-02-10 00:30:00 +0000 UTC",0,52.2,11.9,87,8.8,103.7,12.6
"2023-02-10 00:40:00 +0000 UTC",0,52.2,11.8,87,8.8,103.1,12.6
"2023-02-10 00:50:00 +0000 UTC",0,52.2,11.8,86.9,8.8,103.1,12.6
"2023-02-10 01:00:00 +0000 UTC",0,52.2,11.8,86.4,8.8,103.1,12.5
"2023-02-10 01:10:00 +0000 UTC",,,,86.9,8.8,102.6,12.5
"2023-02-10 01:20:00 +0000 UTC",0,52.2,11.7,86.4,8.8,103.1,12.5
"2023-02-10 01:30:00 +0000 UTC",0,52.2,11.6,85.8,8.7,102,12.5
"2023-02-10 01:40:00 +0000 UTC",0,52.2,11.6,85.8,8.8,103,12.4
"2023-02-10 01:50:00 +0000 UTC",0,52.2,11.6,85.8,8.7,102.5,12.4
"2023-02-10 02:00:00 +0000 UTC",0,52.2,11.6,85.8,8.7,102,12.4
"2023-02-10 02:10:00 +0000 UTC",0,52.2,11.6,85.8,8.7,102.5,12.3
"2023-02-10 02:20:00 +0000 UTC",0,52.2,11.5,85.8,8.7,101.9,12.3
"2023-02-10 02:30:00 +0000 UTC",0,52.2,11.5,85.8,8.7,101.9,12.3
"2023-02-10 02:40:00 +0000 UTC",0,52.8,11.5,85.8,8.7,101.9,12.3
"2023-02-10 02:50:00 +0000 UTC",0,52.3,11.5,85.8,8.7,101.9,12.3
